GHHK01016803_1__124_1482___	PTHR10357	SF:PTHR10357:SF196;NAME:Maltase A2;
GHHK01010674_1__116_1282___	PTHR23333	SF:PTHR23333:SF20;NAME:GH01724p;  GO-Annotations:GO:0031468;GO:0061025;GO:0005829;GO:0005634;GO:0007030;GO:0043130;GO:0043161;GO:0000045;
GHHK01013594_1__304_3309___	PTHR42861	SF:PTHR42861:SF8;NAME:Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type;  GO-Annotations:GO:0033017;GO:0008553;GO:0070588;GO:0006874;GO:0005388;
GHHK01007158_1__306_662___	PTHR42861	SF:PTHR42861:SF8;NAME:Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type;  GO-Annotations:GO:0033017;GO:0008553;GO:0070588;GO:0006874;GO:0005388;
GHHK01002413_1__1_666___	PTHR43993	SF:PTHR43993:SF3;NAME:;
GHHK01015803_1__67_789___	PTHR10681	SF:PTHR10681:SF102;NAME:AT16346p-related;
GHHK01014100_1__82_720___	PTHR10681	SF:PTHR10681:SF102;NAME:AT16346p-related;
GHHK01016211_1__267_863___	PTHR10681	SF:PTHR10681:SF102;NAME:AT16346p-related;
GHHK01006099_1__191_2038___	PTHR23406	SF:PTHR23406:SF34;NAME:Malic enzyme-related;  GO-Annotations:GO:0006090;GO:0004473;GO:0004470;GO:0005739;GO:0006108;
GHHK01000412_1__64_426___	PTHR23430	SF:PTHR23430:SF50;NAME:Histone H2A;  GO-Annotations:GO:0006342;GO:0000790;GO:0003677;GO:0006325;
GHHK01009154_1__135_1325___	PTHR23430	SF:PTHR23430:SF69;NAME:;  GO-Annotations:GO:0006342;GO:0000790;GO:0003677;GO:0006325;
GHHK01012993_1__312_2264___	PTHR23115	SF:PTHR23115:SF36;NAME:Ef1alpha-like factor, isoform A;  GO-Annotations:GO:0003924;GO:0006412;GO:0003747;GO:0018444;GO:0002184;
GHHK01002660_1__39_1421___	PTHR23115	SF:PTHR23115:SF170;NAME:Elongation factor 1-alpha 1-related;  GO-Annotations:GO:0003746;GO:0003924;GO:0006412;GO:0006414;
GHHK01022048_1__131_1372___	PTHR23115	SF:PTHR23115:SF170;NAME:Elongation factor 1-alpha 1-related;  GO-Annotations:GO:0003746;GO:0003924;GO:0006412;GO:0006414;
GHHK01017614_1__109_1656___	PTHR43226	SF:PTHR43226:SF1;NAME:Xaa-Pro dipeptidase;
GHHK01017618_1__166_1158___	PTHR10683	SF:PTHR10683:SF18;NAME:Transaldolase;
GHHK01026007_1__62_622___	PTHR22812	SF:PTHR22812:SF134;NAME:Chromobox protein homolog 3;
GHHK01009749_1__150_1208___	PTHR13759	SF:PTHR13759:SF1;NAME:Twinfilin-1;  GO-Annotations:GO:0051015;GO:0030016;GO:0005737;GO:0042989;GO:0003785;GO:0005884;GO:0010591;GO:0030042;GO:0051016;GO:0010976;
GHHK01002053_1__112_1209___	PTHR10091	SF:PTHR10091:SF0;NAME:Aldose 1-epimerase;  GO-Annotations:GO:0004034;GO:0006006;GO:0033499;
GHHK01006649_1__1_801___	PTHR11857	SF:PTHR11857:SF7;NAME:General odorant-binding protein 69a;  GO-Annotations:GO:0005615;GO:0007608;
GHHK01011243_1__3_788___	PTHR11857	SF:PTHR11857:SF7;NAME:General odorant-binding protein 69a;  GO-Annotations:GO:0005615;GO:0007608;
GHHK01007554_1__111_518___	PTHR23413	SF:PTHR23413:SF1;NAME:60S ribosomal protein L32;  GO-Annotations:GO:0022625;
GHHK01009467_1__3_1037___	PTHR18952	SF:PTHR18952:SF135;NAME:LP05719p;
GHHK01014464_1__63_2792___	PTHR12302	SF:PTHR12302:SF6;NAME:Serine/threonine-protein kinase 31;  GO-Annotations:GO:0005737;GO:0006401;GO:0005634;GO:0004518;
GHHK01013675_1__207_995___	PTHR43764	SF:PTHR43764:SF1;NAME:Molybdopterin adenylyltransferase;
GHHK01010389_1__111_1529___	PTHR10120	SF:PTHR10120:SF24;NAME:CAAX prenyl protease 1 homolog;  GO-Annotations:GO:0004222;GO:0071586;GO:0030176;
GHHK01016375_1__193_2421___	PTHR23078	SF:PTHR23078:SF3;NAME:Vesicle-fusing ATPase;  GO-Annotations:GO:0016887;GO:0043001;GO:0006891;GO:0005795;GO:0048211;
GHHK01015446_1__149_1132___	PTHR10286	SF:PTHR10286:SF3;NAME:Inorganic pyrophosphatase;
GHHK01018565_1__3_638___	PTHR10052	SF:PTHR10052:SF1;NAME:60S ribosomal protein L18a;  GO-Annotations:GO:0022625;
GHHK01005079_1__2_1330___	PTHR11452	SF:PTHR11452:SF55;NAME:;  GO-Annotations:GO:0046477;GO:0005737;GO:0016139;GO:0009311;GO:0004557;
GHHK01016008_1__54_1739___	PTHR12233	SF:PTHR12233:SF1;NAME:Vacuolar protein sorting-associated protein 26;  GO-Annotations:GO:0030904;GO:0005768;GO:0006886;GO:0008565;GO:0042147;
GHHK01021719_1__117_926___	PTHR10612	SF:PTHR10612:SF16;NAME:;
GHHK01018963_1__36_845___	PTHR13718	SF:PTHR13718:SF4;NAME:40S ribosomal protein S2;  GO-Annotations:GO:0003735;GO:0006412;GO:0022627;
GHHK01008689_1__2_442___	PTHR11278	SF:PTHR11278:SF0;NAME:40S ribosomal protein S7;  GO-Annotations:GO:0006364;GO:0032040;GO:0042274;GO:0030686;GO:0022627;
GHHK01012973_1__87_665___	PTHR11278	SF:PTHR11278:SF0;NAME:40S ribosomal protein S7;  GO-Annotations:GO:0006364;GO:0032040;GO:0042274;GO:0030686;GO:0022627;
GHHK01013073_1__2_2170___	PTHR23213	SF:PTHR23213:SF328;NAME:Dishevelled associated activator of morphogenesis, isoform D;
GHHK01018620_1__190_2034___	PTHR23213	
GHHK01011563_1__112_474___	PTHR11954	SF:PTHR11954:SF6;NAME:Macrophage migration inhibitory factor;
GHHK01015577_1__2_1303___	PTHR12994	SF:PTHR12994:SF17;NAME:LD30995p;  GO-Annotations:GO:0006887;
GHHK01000641_1__3_2609___	PTHR10555	SF:PTHR10555:SF127;NAME:FI18122p1;  GO-Annotations:GO:0019898;GO:0035091;GO:0005768;GO:0010008;GO:0016050;GO:0006897;GO:0034498;
GHHK01007259_1__2_1708___	PTHR10555	SF:PTHR10555:SF170;NAME:Sorting nexin-18;  GO-Annotations:GO:0019898;GO:0035091;GO:0005768;GO:0016050;GO:0006897;
GHHK01001190_1__32_868___	PTHR11122	SF:PTHR11122:SF13;NAME:Glucose-6-phosphate 1-epimerase;
GHHK01015659_1__3_434___	PTHR23238	SF:PTHR23238:SF26;NAME:GH13594p-related;
GHHK01008681_1__169_831___	PTHR23238	SF:PTHR23238:SF26;NAME:GH13594p-related;
GHHK01016951_1__3_707___	PTHR10064	SF:PTHR10064:SF0;NAME:60S ribosomal protein L22-related;  GO-Annotations:GO:0022625;GO:0003735;GO:0044822;GO:0002181;
GHHK01015012_1__113_2908___	PTHR11134	SF:PTHR11134:SF3;NAME:AP complex subunit beta;
GHHK01007396_1__555_4331___	PTHR13832	SF:PTHR13832:SF535;NAME:Protein phosphatase 1E;
GHHK01011379_1__291_1421___	PTHR13832	SF:PTHR13832:SF524;NAME:Protein phosphatase 1A, magnesium dependent, alpha isoform-related;
GHHK01010543_1__295_1146___	PTHR43028	SF:PTHR43028:SF3;NAME:Inositol polyphosphate 1-phosphatase;  GO-Annotations:GO:0046855;GO:0004441;
GHHK01000729_1__79_1029___	PTHR43028	SF:PTHR43028:SF5;NAME:3'(2'),5'-bisphosphate nucleotidase 1;  GO-Annotations:GO:0008441;
GHHK01019431_1__105_977___	PTHR10984	SF:PTHR10984:SF36;NAME:Endoplasmic reticulum-Golgi intermediate compartment protein 1;
GHHK01015711_1__3_2231___	PTHR11733	SF:PTHR11733:SF167;NAME:NEPrilysin metallopeptidase family;
GHHK01010999_1__207_1481___	PTHR13966	SF:PTHR13966:SF11;NAME:IP10440p-related;  GO-Annotations:GO:0006309;GO:0005739;GO:0000737;GO:0004518;
GHHK01016570_1__819_1781___	PTHR19868	SF:PTHR19868:SF0;NAME:Receptor of activated protein C kinase 1;
GHHK01014985_1__503_3958___	PTHR24006	SF:PTHR24006:SF644;NAME:Ubiquitin carboxyl-terminal hydrolase 7;
GHHK01009126_1__85_735___	PTHR12132	SF:PTHR12132:SF1;NAME:DNA repair protein RAD52 homolog;  GO-Annotations:GO:0000724;GO:0045002;GO:0005634;GO:0006312;
GHHK01007980_1__182_973___	PTHR11346	SF:PTHR11346:SF116;NAME:Galectin;
GHHK01010598_1__1_1089___	PTHR23500	SF:PTHR23500:SF56;NAME:;  GO-Annotations:GO:0005887;GO:0046323;GO:0035428;GO:0005355;GO:0005351;
GHHK01010535_1__560_2287___	PTHR23500	SF:PTHR23500:SF97;NAME:Facilitated trehalose transporter Tret1-1-related;  GO-Annotations:GO:0005887;GO:0046323;GO:0035428;GO:0005355;GO:0005351;
GHHK01006781_1__108_1175___	PTHR43157	SF:PTHR43157:SF1;NAME:DeHydrogenases, Short chain;
GHHK01010825_1__93_1052___	PTHR43492	SF:PTHR43492:SF2;NAME:Lambda-crystallin homolog;
GHHK01001822_1__169_2202___	PTHR10745	SF:PTHR10745:SF0;NAME:Glycine--tRNA ligase;  GO-Annotations:GO:0070150;GO:0006426;GO:0005737;GO:0005739;GO:0004820;
GHHK01017887_1__182_1921___	PTHR11469	SF:PTHR11469:SF4;NAME:Glucose-6-phosphate isomerase;
GHHK01011829_1__500_1846___	PTHR24347	SF:PTHR24347:SF356;NAME:Calcium/calmodulin dependent protein kinase I;  GO-Annotations:GO:0004683;GO:0005622;GO:0018107;GO:0018105;GO:0035556;GO:0005516;GO:0004674;
GHHK01005593_1__113_2593___	PTHR43937	SF:PTHR43937:SF1;NAME:RE70722p;
GHHK01029332_1__1_306___	PTHR22804	SF:PTHR22804:SF9;NAME:;  GO-Annotations:GO:0007417;GO:0005578;GO:0001501;
GHHK01006134_1__2_307___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01000358_1__2_469___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01009804_1__1_567___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01000350_1__2_583___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01000367_1__2_871___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01012555_1__74_514___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01005070_1__1_1632___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01000357_1__3_440___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01000360_1__1_567___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01009797_1__3_671___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01015873_1__2_1768___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01000353_1__1_630___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01006939_1__1_1302___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01000352_1__3_2063___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01000364_1__52_501___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01000363_1__2_346___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01000356_1__2_361___	PTHR11511	SF:PTHR11511:SF4;NAME:Phenoloxidase 2-related;
GHHK01005051_1__2_358___	PTHR44022	SF:PTHR44022:SF1;NAME:;
GHHK01008216_1__2_400___	PTHR44022	SF:PTHR44022:SF1;NAME:;
GHHK01017188_1__208_2274___	PTHR11461	SF:PTHR11461:SF20;NAME:Alpha-2-antiplasmin;  GO-Annotations:GO:0005615;GO:0010951;GO:0004867;
GHHK01004826_1__61_1314___	PTHR11461	SF:PTHR11461:SF278;NAME:GH14439p;  GO-Annotations:GO:0005615;GO:0010951;GO:0004867;
GHHK01005294_1__1_1077___	PTHR11461	SF:PTHR11461:SF162;NAME:FI21492p1-related;  GO-Annotations:GO:0005615;GO:0010951;GO:0004867;
GHHK01009504_1__2_1396___	PTHR11461	SF:PTHR11461:SF211;NAME:Accessory gland protein Acp76A-related;  GO-Annotations:GO:0005615;GO:0010951;GO:0004867;
GHHK01009679_1__114_779___	PTHR11461	SF:PTHR11461:SF162;NAME:FI21492p1-related;  GO-Annotations:GO:0005615;GO:0010951;GO:0004867;
GHHK01018369_1__195_1529___	PTHR11461	SF:PTHR11461:SF211;NAME:Accessory gland protein Acp76A-related;  GO-Annotations:GO:0005615;GO:0010951;GO:0004867;
GHHK01014004_1__2_451___	PTHR11461	SF:PTHR11461:SF278;NAME:GH14439p;  GO-Annotations:GO:0005615;GO:0010951;GO:0004867;
GHHK01017479_1__60_1724___	PTHR43089	SF:PTHR43089:SF5;NAME:ATP synthase subunit alpha;
GHHK01005072_1__1_831___	PTHR11506	SF:PTHR11506:SF28;NAME:FI04419p;
GHHK01017830_1__118_1038___	PTHR11544	SF:PTHR11544:SF102;NAME:LD37574p;
GHHK01011754_1__68_1840___	PTHR10947	SF:PTHR10947:SF0;NAME:Phenylalanine--tRNA ligase beta subunit;  GO-Annotations:GO:0004826;GO:0006432;GO:0009328;
GHHK01019567_1__96_1181___	PTHR11893	SF:PTHR11893:SF5;NAME:Innexin inx1-related;  GO-Annotations:GO:0005921;GO:0005243;GO:0007602;GO:0005886;GO:0050789;
GHHK01008324_1__251_1447___	PTHR11893	SF:PTHR11893:SF5;NAME:Innexin inx1-related;  GO-Annotations:GO:0005921;GO:0005243;GO:0007602;GO:0005886;GO:0050789;
GHHK01014754_1__103_1440___	PTHR11792	SF:PTHR11792:SF17;NAME:Kurtz arrestin;
GHHK01006657_1__100_828___	PTHR11502	SF:PTHR11502:SF6;NAME:40S ribosomal protein S6;
GHHK01004946_1__667_2835___	PTHR16160	SF:PTHR16160:SF13;NAME:Fermitin 2-related;
GHHK01007079_1__113_691___	PTHR24072	SF:PTHR24072:SF187;NAME:Ras-related protein Rac1-related;  GO-Annotations:GO:0016477;GO:0005737;GO:0019901;GO:0007015;GO:0004871;GO:0005856;GO:0030036;GO:0043652;GO:0003924;GO:0007266;GO:0005525;GO:0000281;GO:0006897;GO:0006935;GO:0030838;GO:0005886;GO:0000902;GO:0031532;
GHHK01022997_1__69_647___	PTHR24072	SF:PTHR24072:SF168;NAME:Ras-like GTP-binding protein Rho1;  GO-Annotations:GO:0016477;GO:0005938;GO:0031410;GO:0032956;GO:0005737;GO:0019901;GO:0007015;GO:0051017;GO:0004871;GO:0000910;GO:0008360;GO:0003924;GO:0007266;GO:0005525;GO:0030950;GO:0030334;GO:0007163;GO:0005886;GO:0043231;
GHHK01008365_1__184_1110___	PTHR19370	SF:PTHR19370:SF181;NAME:NADH-cytochrome b5 reductase;  GO-Annotations:GO:0005739;GO:0071949;GO:0016491;
GHHK01005144_1__3_818___	PTHR11374	SF:PTHR11374:SF3;NAME:UDP-glucose 6-dehydrogenase;  GO-Annotations:GO:0006024;GO:0005829;GO:0005634;
GHHK01005524_1__3_827___	PTHR11374	SF:PTHR11374:SF3;NAME:UDP-glucose 6-dehydrogenase;  GO-Annotations:GO:0006024;GO:0005829;GO:0005634;
GHHK01014655_1__132_1709___	PTHR11751	SF:PTHR11751:SF29;NAME:AT04676p;
GHHK01007366_1__408_4295___	PTHR13140	SF:PTHR13140:SF663;NAME:Heavy chain, Unconventional Myosin;
GHHK01007184_1__41_3241___	PTHR13140	SF:PTHR13140:SF713;NAME:Myosin-IA;
GHHK01021519_1__3_869___	PTHR13140	SF:PTHR13140:SF289;NAME:Unconventional myosin-XIX;
GHHK01002247_1__74_4771___	PTHR10322	SF:PTHR10322:SF21;NAME:DNA polymerase alpha catalytic subunit;  GO-Annotations:GO:0006272;GO:0005634;GO:0006273;GO:0003887;GO:0005658;GO:0006261;GO:0006303;
GHHK01007310_1__2_637___	PTHR10322	SF:PTHR10322:SF23;NAME:DNA polymerase delta catalytic subunit;  GO-Annotations:GO:0045004;GO:0005634;GO:0006287;GO:0003887;GO:0043625;GO:0006297;GO:0006261;GO:0008296;
GHHK01010168_1__103_1014___	PTHR11558	SF:PTHR11558:SF27;NAME:Spermine synthase;  GO-Annotations:GO:0006597;GO:0006596;GO:0016768;
GHHK01026863_1__202_2466___	PTHR10183	SF:PTHR10183:SF386;NAME:Calpain-A-related;  GO-Annotations:GO:0004198;GO:0005737;GO:0006508;
GHHK01012880_1__84_539___	PTHR11759	SF:PTHR11759:SF1;NAME:40S ribosomal protein S14;  GO-Annotations:GO:0048027;GO:0003735;GO:0000462;GO:0006412;GO:0000028;GO:0070181;GO:0022627;
GHHK01001162_1__2_1342___	PTHR24349	SF:PTHR24349:SF102;NAME:Serine/threonine-protein kinase PEPKR2;  GO-Annotations:GO:0005737;GO:0004683;GO:0046777;GO:0018105;GO:0035556;GO:0005516;GO:0005634;GO:0009931;
GHHK01007035_1__275_1744___	PTHR22983	SF:PTHR22983:SF6;NAME:Serine/threonine-protein kinase 36;
GHHK01001303_1__51_1286___	PTHR22983	SF:PTHR22983:SF6;NAME:Serine/threonine-protein kinase 36;
GHHK01009326_1__147_2900___	PTHR12381	SF:PTHR12381:SF56;NAME:;
GHHK01017993_1__111_1148___	PTHR12381	SF:PTHR12381:SF49;NAME:SAP domain-containing ribonucleoprotein;
GHHK01013040_1__97_453___	PTHR16982	SF:PTHR16982:SF14;NAME:;  GO-Annotations:GO:0009986;
GHHK01017707_1__95_556___	PTHR11071	SF:PTHR11071:SF277;NAME:Peptidyl-prolyl cis-trans isomerase F, mitochondrial;  GO-Annotations:GO:0003755;GO:0000413;
GHHK01016338_1__153_785___	PTHR11071	SF:PTHR11071:SF267;NAME:Peptidyl-prolyl cis-trans isomerase;  GO-Annotations:GO:0003755;GO:0000413;
GHHK01004721_1__143_1519___	PTHR42854	SF:PTHR42854:SF3;NAME:Eukaryotic translation initiation factor 2 subunit 3;  GO-Annotations:GO:0003743;GO:0001731;
GHHK01018556_1__249_794___	PTHR11467	SF:PTHR11467:SF90;NAME:Histone H1;
GHHK01007779_1__64_597___	PTHR11467	SF:PTHR11467:SF36;NAME:Histone H1.0;
GHHK01010900_1__62_586___	PTHR11467	SF:PTHR11467:SF90;NAME:Histone H1;
GHHK01018797_1__2_616___	PTHR11467	SF:PTHR11467:SF36;NAME:Histone H1.0;
GHHK01014185_1__1_636___	PTHR11467	SF:PTHR11467:SF90;NAME:Histone H1;
GHHK01005997_1__62_532___	PTHR11467	SF:PTHR11467:SF90;NAME:Histone H1;
GHHK01017864_1__1_648___	PTHR11467	SF:PTHR11467:SF36;NAME:Histone H1.0;
GHHK01013961_1__93_695___	PTHR11467	SF:PTHR11467:SF42;NAME:Histone H1oo;
GHHK01005288_1__62_619___	PTHR11467	SF:PTHR11467:SF90;NAME:Histone H1;
GHHK01016882_1__115_3945___	PTHR12696	SF:PTHR12696:SF0;NAME:Cullin-associated NEDD8-dissociated protein 1;  GO-Annotations:GO:0010265;GO:0016567;GO:0005634;
GHHK01007843_1__3_500___	PTHR11721	SF:PTHR11721:SF3;NAME:60S ribosomal protein L27a;  GO-Annotations:GO:0003735;GO:0022625;
GHHK01012012_1__326_1198___	PTHR10352	SF:PTHR10352:SF0;NAME:Eukaryotic translation initiation factor 3 subunit G;  GO-Annotations:GO:0003743;GO:0005852;
GHHK01012308_1__89_2488___	PTHR11528	SF:PTHR11528:SF73;NAME:Endoplasmin-related;
GHHK01014241_1__125_2284___	PTHR11528	SF:PTHR11528:SF34;NAME:Heat shock protein HSP 90-beta-related;
GHHK01012307_1__99_2495___	PTHR11528	SF:PTHR11528:SF73;NAME:Endoplasmin-related;
GHHK01019904_1__61_984___	PTHR12058	SF:PTHR12058:SF0;NAME:Actin-related protein 2/3 complex subunit 2;  GO-Annotations:GO:0051015;GO:0034314;GO:0005885;GO:0005200;
GHHK01009146_1__47_1468___	PTHR11680	SF:PTHR11680:SF21;NAME:Serine hydroxymethyltransferase, cytosolic;
GHHK01001232_1__1_987___	PTHR11680	SF:PTHR11680:SF17;NAME:Serine hydroxymethyltransferase, mitochondrial;
GHHK01021716_1__1_693___	PTHR23105	SF:PTHR23105:SF101;NAME:60S ribosomal protein L10a;  GO-Annotations:GO:0000470;GO:0006412;GO:0003723;GO:0022625;
GHHK01013452_1__617_2290___	PTHR24060	SF:PTHR24060:SF134;NAME:LP07906p;  GO-Annotations:GO:0005887;GO:0042734;GO:0051966;GO:0008066;GO:0001642;GO:0007216;GO:0007196;
GHHK01005686_1__169_858___	PTHR22599	SF:PTHR22599:SF11;NAME:MOB kinase activator-like 3;
GHHK01007695_1__2_382___	PTHR11955	SF:PTHR11955:SF99;NAME:;
GHHK01010831_1__2_382___	PTHR11955	SF:PTHR11955:SF99;NAME:;
GHHK01010257_1__35_424___	PTHR11955	SF:PTHR11955:SF99;NAME:;
GHHK01015182_1__136_1695___	PTHR11699	SF:PTHR11699:SF264;NAME:;  GO-Annotations:GO:0004029;
GHHK01015587_1__198_2930___	PTHR11699	SF:PTHR11699:SF190;NAME:10-formyltetrahydrofolate dehydrogenase;  GO-Annotations:GO:0004029;GO:0016155;
GHHK01008881_1__95_865___	PTHR12019	SF:PTHR12019:SF12;NAME:LEM domain-containing protein 1;
GHHK01014427_1__184_1728___	PTHR11963	SF:PTHR11963:SF23;NAME:Dipeptidase B, isoform A;
GHHK01010100_1__95_1714___	PTHR11963	SF:PTHR11963:SF4;NAME:aminopeptidase NPEPL1-related;
GHHK01010301_1__359_1099___	PTHR14149	SF:PTHR14149:SF14;NAME:Patterned Expression Site;
GHHK01012129_1__334_2124___	PTHR10201	SF:PTHR10201:SF174;NAME:Matrix metalloproteinase 1, isoform C;
GHHK01010083_1__94_2517___	PTHR12011	SF:PTHR12011:SF349;NAME:G-protein coupled receptor Mth-related;
GHHK01009598_1__100_531___	PTHR11652	SF:PTHR11652:SF14;NAME:40S ribosomal protein S23;  GO-Annotations:GO:0003735;GO:0006412;GO:0005840;GO:0022627;
GHHK01015013_1__1_621___	PTHR19441	SF:PTHR19441:SF34;NAME:WAP four-disulfide core domain protein 2;
GHHK01013436_1__2_475___	PTHR19441	SF:PTHR19441:SF34;NAME:WAP four-disulfide core domain protein 2;
GHHK01011502_1__3_539___	PTHR19441	SF:PTHR19441:SF72;NAME:;
GHHK01019015_1__136_1017___	PTHR12232	SF:PTHR12232:SF0;NAME:SH3 domain-binding glutamic acid-rich-like protein;  GO-Annotations:GO:0005737;
GHHK01001040_1__146_1243___	PTHR43127	SF:PTHR43127:SF2;NAME:Developmentally-regulated GTP-binding protein 2;
GHHK01018359_1__794_1816___	PTHR19850	SF:PTHR19850:SF25;NAME:Guanine nucleotide-binding protein subunit beta-1;
GHHK01015892_1__45_2372___	PTHR13375	SF:PTHR13375:SF3;NAME:THO complex subunit 5 homolog;  GO-Annotations:GO:0000445;GO:0003729;GO:0006406;GO:0032786;GO:0000228;
GHHK01004933_1__3_1580___	PTHR43389	SF:PTHR43389:SF4;NAME:ATPase, H+ transporting, lysosomal V1 subunit B2;
GHHK01009444_1__205_1470___	PTHR24418	SF:PTHR24418:SF377;NAME:;
GHHK01004650_1__146_1354___	PTHR24418	SF:PTHR24418:SF283;NAME:Tyrosine-protein kinase Src64B;  GO-Annotations:GO:0016477;GO:0042127;GO:0005102;GO:0031234;GO:0045087;GO:0030154;GO:0038083;GO:0007169;GO:0004715;
GHHK01004991_1__46_540___	PTHR24418	SF:PTHR24418:SF269;NAME:Tyrosine-protein kinase STYK1;  GO-Annotations:GO:0042127;GO:0005102;GO:0031234;GO:0045087;GO:0030154;GO:0038083;GO:0007169;GO:0004715;
GHHK01002434_1__811_3876___	PTHR24418	SF:PTHR24418:SF367;NAME:Focal adhesion kinase, isoform D;  GO-Annotations:GO:0042127;GO:0005102;GO:0031234;GO:0045087;GO:0030154;GO:0038083;GO:0007169;GO:0004715;
GHHK01007276_1__67_1047___	PTHR10889	SF:PTHR10889:SF3;NAME:Deoxyribose-phosphate aldolase;  GO-Annotations:GO:0004139;GO:0009264;GO:0016052;
GHHK01005341_1__146_1471___	PTHR10113	SF:PTHR10113:SF10;NAME:Eukaryotic peptide chain release factor subunit 1;  GO-Annotations:GO:0018444;GO:0005829;GO:0016149;
GHHK01021468_1__50_1309___	PTHR22904	SF:PTHR22904:SF407;NAME:Hsc70-interacting protein-related;
GHHK01005493_1__193_3006___	PTHR22904	SF:PTHR22904:SF490;NAME:FI21225p1;
GHHK01012521_1__119_1207___	PTHR22904	SF:PTHR22904:SF338;NAME:LD24721p;
GHHK01019481_1__90_950___	PTHR11375	SF:PTHR11375:SF0;NAME:Acidic leucine-rich nuclear phosphoprotein 32 family member A;  GO-Annotations:GO:0006338;GO:0042393;GO:0005634;
GHHK01003400_1__83_733___	PTHR11375	SF:PTHR11375:SF0;NAME:Acidic leucine-rich nuclear phosphoprotein 32 family member A;  GO-Annotations:GO:0006338;GO:0042393;GO:0005634;
GHHK01017325_1__178_1485___	PTHR23420	SF:PTHR23420:SF0;NAME:Adenosylhomocysteinase;  GO-Annotations:GO:0033353;GO:0005829;GO:0004013;
GHHK01012148_1__59_1633___	PTHR23420	SF:PTHR23420:SF4;NAME:Adenosylhomocysteinase-related;  GO-Annotations:GO:0033353;GO:0005829;
GHHK01012111_1__93_1529___	PTHR43270	SF:PTHR43270:SF4;NAME:RE11562p;
GHHK01004264_1__2_1087___	PTHR11547	SF:PTHR11547:SF38;NAME:Arginine kinase;
GHHK01016294_1__3_929___	PTHR20854	SF:PTHR20854:SF4;NAME:Inositol monophosphatase ttx-7;  GO-Annotations:GO:0006020;GO:0007165;GO:0046855;GO:0008934;
GHHK01014320_1__84_1484___	PTHR11851	SF:PTHR11851:SF49;NAME:Cytochrome b-c1 complex subunit 2, mitochondrial;  GO-Annotations:GO:0016485;GO:0005743;GO:0006627;GO:0004222;
GHHK01006221_1__51_1484___	PTHR11851	SF:PTHR11851:SF149;NAME:GH01077p;  GO-Annotations:GO:0016485;GO:0006122;GO:0005750;GO:0004222;GO:0009060;
GHHK01006785_1__3_701___	PTHR11046	SF:PTHR11046:SF12;NAME:;  GO-Annotations:GO:0000175;GO:0005739;
GHHK01017279_1__893_1918___	PTHR10182	SF:PTHR10182:SF3;NAME:Protein Mo25;
GHHK01000282_1__1_369___	PTHR11426	;  GO-Annotations:GO:0006334;GO:0000786;GO:0005634;GO:0031492;
GHHK01013072_1__76_519___	PTHR10902	SF:PTHR10902:SF0;NAME:Ribosomal protein L35a;  GO-Annotations:GO:0003735;GO:0042273;GO:0002181;GO:0022625;
GHHK01009307_1__85_708___	PTHR11545	SF:PTHR11545:SF3;NAME:60S ribosomal protein L13a;  GO-Annotations:GO:0003735;GO:0003729;GO:0005840;GO:0022625;
GHHK01004128_1__3_305___	PTHR11700	SF:PTHR11700:SF8;NAME:40S ribosomal protein S20;  GO-Annotations:GO:0015935;GO:0003735;GO:0022627;
GHHK01009733_1__133_510___	PTHR11700	SF:PTHR11700:SF8;NAME:40S ribosomal protein S20;  GO-Annotations:GO:0015935;GO:0003735;GO:0022627;
GHHK01005921_1__200_1210___	PTHR10026	SF:PTHR10026:SF8;NAME:Cyclin-H;  GO-Annotations:GO:0005634;GO:1901409;GO:0016538;GO:0045737;GO:0000307;GO:0045944;
GHHK01010752_1__273_2963___	PTHR10527	SF:PTHR10527:SF1;NAME:Importin subunit beta-1;  GO-Annotations:GO:0006607;GO:0005737;GO:0031965;GO:0008139;GO:0008565;GO:0006610;GO:0034399;
