GHHK01014718.1|:1-2064(+)
GHHK01005593.1|:113-2593(+)
GHHK01007718.1|:116-1474(+)
GHHK01005619.1|:148-813(+)
GHHK01018291.1|:2-2281(+)
GHHK01026766.1|:1-408(+)
GHHK01028334.1|:125-1060(+)
GHHK01005997.1|:62-532(+)
GHHK01019015.1|:136-1017(+)
GHHK01015892.1|:45-2372(+)
GHHK01011661.1|:3-452(+)
GHHK01007695.1|:2-382(+)
GHHK01008606.1|:87-1298(+)
GHHK01013084.1|:303-1385(+)
GHHK01014528.1|:90-1049(+)
GHHK01014473.1|:173-2359(+)
GHHK01001510.1|:1-582(+)
GHHK01018531.1|:1-1236(+)
GHHK01006099.1|:191-2038(+)
GHHK01017904.1|:145-663(+)
GHHK01012317.1|:2-1462(+)
GHHK01007991.1|:58-996(+)
GHHK01008927.1|:148-5784(+)
GHHK01011886.1|:130-2031(+)
GHHK01002422.1|:3-2210(+)
GHHK01001878.1|:258-908(+)
GHHK01016537.1|:41-2974(+)
GHHK01021636.1|:16-1473(+)
GHHK01007779.1|:64-597(+)
GHHK01005898.1|:2-316(+)
GHHK01019814.1|:262-2712(+)
GHHK01026729.1|:319-3429(+)
GHHK01009533.1|:289-1587(+)
GHHK01006064.1|:146-2890(+)
GHHK01007581.1|:2-1453(+)
GHHK01014652.1|:156-791(+)
GHHK01001190.1|:32-868(+)
GHHK01007471.1|:123-800(+)
GHHK01010366.1|:57-1037(+)
GHHK01017064.1|:53-796(+)
GHHK01020649.1|:3-1058(+)
GHHK01013433.1|:158-712(+)
GHHK01010227.1|:131-2878(+)
GHHK01018244.1|:182-1183(+)
GHHK01006200.1|:92-2638(+)
GHHK01019657.1|:56-961(+)
GHHK01004846.1|:110-5227(+)
GHHK01010257.1|:35-424(-)
GHHK01000120.1|:134-655(+)
GHHK01027419.1|:3-476(+)
GHHK01016883.1|:1-894(+)
GHHK01003973.1|:206-1444(+)
GHHK01017780.1|:124-1482(+)
GHHK01019734.1|:115-906(+)
GHHK01000358.1|:2-469(-)
GHHK01006240.1|:66-839(+)
GHHK01017325.1|:178-1485(+)
GHHK01009444.1|:205-1470(+)
GHHK01017974.1|:119-2113(+)
GHHK01012863.1|:148-2673(+)
GHHK01012816.1|:1-801(+)
GHHK01013584.1|:22-708(+)
GHHK01019935.1|:94-4878(+)
GHHK01016375.1|:193-2421(+)
GHHK01015700.1|:96-950(+)
GHHK01000729.1|:79-1029(+)
GHHK01011091.1|:85-420(+)
GHHK01007136.1|:83-1228(+)
GHHK01010999.1|:207-1481(+)
GHHK01016153.1|:357-2369(+)
GHHK01005813.1|:115-549(+)
GHHK01014844.1|:3-1787(+)
GHHK01021951.1|:1-912(+)
GHHK01015609.1|:119-586(+)
GHHK01018960.1|:173-1303(+)
GHHK01012576.1|:201-1868(+)
GHHK01015068.1|:126-1463(+)
GHHK01007566.1|:323-2146(+)
GHHK01016118.1|:686-4150(+)
GHHK01014901.1|:46-5007(+)
GHHK01016547.1|:202-2589(+)
GHHK01009289.1|:94-2166(+)
GHHK01018556.1|:249-794(+)
GHHK01007184.1|:41-3241(+)
GHHK01007906.1|:1-396(+)
GHHK01005382.1|:956-4894(+)
GHHK01022199.1|:1-345(+)
GHHK01017623.1|:985-1617(+)
GHHK01027045.1|:3-1061(+)
GHHK01009304.1|:72-1964(+)
GHHK01019041.1|:1440-2489(+)
GHHK01005651.1|:85-816(+)
GHHK01015802.1|:50-1147(+)
GHHK01014268.1|:113-2308(+)
GHHK01006657.1|:100-828(+)
GHHK01008681.1|:169-831(+)
GHHK01013561.1|:276-1232(+)
GHHK01001203.1|:185-1930(+)
GHHK01009095.1|:102-1148(+)
GHHK01005703.1|:242-1474(+)
GHHK01004859.1|:120-1265(+)
GHHK01017853.1|:2-3172(+)
GHHK01018832.1|:291-1058(+)
GHHK01026662.1|:25-309(+)
GHHK01027340.1|:120-737(+)
GHHK01013585.1|:166-1152(+)
GHHK01021138.1|:46-357(+)
GHHK01012203.1|:70-690(+)
GHHK01006398.1|:2-1243(+)
GHHK01010168.1|:103-1014(+)
GHHK01018506.1|:44-559(+)
GHHK01004506.1|:97-5874(+)
GHHK01009818.1|:188-961(+)
GHHK01014896.1|:2-574(+)
GHHK01020027.1|:1-1041(+)
GHHK01013256.1|:3-509(+)
GHHK01018441.1|:126-578(+)
GHHK01006577.1|:68-1369(+)
GHHK01005273.1|:101-1330(+)
GHHK01006487.1|:3-629(+)
GHHK01017665.1|:81-1661(+)
GHHK01007386.1|:65-2017(+)
GHHK01008346.1|:1-633(-)
GHHK01011943.1|:167-2212(+)
GHHK01020637.1|:94-654(+)
GHHK01014741.1|:1-393(+)
GHHK01002660.1|:39-1421(+)
GHHK01014397.1|:3-1157(+)
GHHK01001212.1|:62-1408(+)
GHHK01011884.1|:2435-4048(+)
GHHK01010435.1|:2-2140(+)
GHHK01001895.1|:1-300(+)
GHHK01014704.1|:67-1089(+)
GHHK01018620.1|:190-2034(+)
GHHK01011990.1|:157-5892(+)
GHHK01008689.1|:2-442(+)
GHHK01010571.1|:63-4811(+)
GHHK01005841.1|:2-1399(+)
GHHK01017652.1|:123-14087(+)
GHHK01013352.1|:3-629(+)
GHHK01005739.1|:1-378(+)
GHHK01021772.1|:202-828(+)
GHHK01004737.1|:3-1412(+)
GHHK01019720.1|:165-1331(+)
GHHK01010241.1|:1-1209(+)
GHHK01000014.1|:1-873(+)
GHHK01006587.1|:67-8736(+)
GHHK01011600.1|:3-1709(+)
GHHK01013853.1|:29-1816(+)
GHHK01009912.1|:31-1110(+)
GHHK01023121.1|:115-522(+)
GHHK01019730.1|:1-324(+)
GHHK01017649.1|:1-999(+)
GHHK01012027.1|:1-723(+)
GHHK01019510.1|:3-1643(+)
GHHK01010403.1|:1-1014(+)
GHHK01011829.1|:500-1846(+)
GHHK01016182.1|:308-1261(+)
GHHK01011754.1|:68-1840(+)
GHHK01018985.1|:149-1117(+)
GHHK01011549.1|:101-448(+)
GHHK01019383.1|:23-11908(+)
GHHK01017648.1|:101-1672(+)
GHHK01014411.1|:3-488(-)
GHHK01000852.1|:104-1084(+)
GHHK01012052.1|:75-560(+)
GHHK01025807.1|:2-943(+)
GHHK01018060.1|:1-972(+)
GHHK01010415.1|:155-1417(+)
GHHK01011913.1|:100-501(-)
GHHK01026594.1|:1-393(-)
GHHK01017057.1|:26-697(+)
GHHK01014279.1|:3-5924(+)
GHHK01012704.1|:28-1017(+)
GHHK01005288.1|:62-619(+)
GHHK01028745.1|:1-633(+)
GHHK01013453.1|:148-2127(+)
GHHK01008069.1|:107-730(+)
GHHK01015135.1|:296-1498(+)
GHHK01017403.1|:203-2650(+)
GHHK01013944.1|:127-2340(+)
GHHK01010923.1|:157-978(+)
GHHK01001474.1|:114-1142(+)
GHHK01010467.1|:80-457(+)
GHHK01030226.1|:66-845(+)
GHHK01025516.1|:2-601(+)
GHHK01029314.1|:60-1040(+)
GHHK01018704.1|:2-1837(+)
GHHK01007176.1|:91-2454(+)
GHHK01014981.1|:1-324(+)
GHHK01019144.1|:124-921(+)
GHHK01005951.1|:183-551(+)
GHHK01013419.1|:54-1265(+)
GHHK01013512.1|:2-523(+)
GHHK01008365.1|:184-1110(+)
GHHK01012524.1|:96-494(+)
GHHK01016517.1|:152-715(+)
GHHK01016951.1|:3-707(+)
GHHK01010796.1|:109-1287(+)
GHHK01002486.1|:1-3810(+)
GHHK01009475.1|:2-313(+)
GHHK01010083.1|:94-2517(+)
GHHK01011428.1|:2-1084(+)
GHHK01004796.1|:456-2768(+)
GHHK01012988.1|:67-1239(+)
GHHK01025347.1|:1-315(+)
GHHK01011424.1|:366-1529(+)
GHHK01008828.1|:1-438(+)
GHHK01010831.1|:2-382(+)
GHHK01015933.1|:3-2336(+)
GHHK01010121.1|:63-965(+)
GHHK01011624.1|:75-3998(+)
GHHK01010099.1|:300-1331(+)
GHHK01012973.1|:87-665(+)
GHHK01012905.1|:108-1262(+)
GHHK01012384.1|:228-3656(+)
GHHK01018310.1|:1-744(+)
GHHK01012993.1|:312-2264(+)
GHHK01027821.1|:92-1555(+)
GHHK01019443.1|:127-1275(+)
GHHK01003714.1|:75-530(+)
GHHK01014452.1|:84-1769(+)
GHHK01013471.1|:76-3336(+)
GHHK01017846.1|:108-1706(+)
GHHK01024338.1|:1-312(+)
GHHK01025339.1|:1-522(+)
GHHK01007151.1|:75-455(+)
GHHK01004619.1|:351-935(+)
GHHK01001348.1|:1-1452(+)
GHHK01014217.1|:189-3146(+)
GHHK01005458.1|:650-2035(+)
GHHK01007312.1|:316-1419(+)
GHHK01013675.1|:207-995(+)
GHHK01010100.1|:95-1714(+)
GHHK01014957.1|:397-2046(+)
GHHK01005051.1|:2-358(+)
GHHK01014571.1|:1-540(+)
GHHK01010629.1|:3-563(+)
GHHK01004774.1|:1-369(+)
GHHK01004728.1|:3-305(+)
GHHK01016520.1|:134-715(+)
GHHK01008363.1|:2-361(+)
GHHK01004614.1|:97-696(+)
GHHK01001109.1|:92-2404(+)
GHHK01008640.1|:130-1800(+)
GHHK01005186.1|:3-1346(+)
GHHK01027807.1|:225-3425(+)
GHHK01011162.1|:3-5243(+)
GHHK01021691.1|:52-1410(+)
GHHK01005794.1|:98-760(+)
GHHK01015028.1|:1-354(+)
GHHK01004721.1|:143-1519(+)
GHHK01018885.1|:183-2918(+)
GHHK01010251.1|:3-1058(+)
GHHK01019270.1|:118-1146(+)
GHHK01013946.1|:157-1398(+)
GHHK01006786.1|:113-997(+)
GHHK01014982.1|:1774-3786(+)
GHHK01016008.1|:54-1739(+)
GHHK01003768.1|:1-414(+)
GHHK01018333.1|:156-854(+)
GHHK01004131.1|:3-614(+)
GHHK01002434.1|:811-3876(+)
GHHK01015766.1|:168-719(+)
GHHK01014237.1|:208-975(+)
GHHK01017894.1|:89-2788(+)
GHHK01005043.1|:2-451(+)
GHHK01006053.1|:137-901(+)
GHHK01017178.1|:138-767(+)
GHHK01012957.1|:88-798(+)
GHHK01027574.1|:2-424(+)
GHHK01006300.1|:85-5022(+)
GHHK01022441.1|:3-329(+)
GHHK01026007.1|:62-622(+)
GHHK01009342.1|:59-1084(+)
GHHK01002102.1|:101-3340(+)
GHHK01017830.1|:118-1038(+)
GHHK01027021.1|:2-427(+)
GHHK01009386.1|:592-3936(+)
GHHK01014285.1|:1-1719(+)
GHHK01007826.1|:131-1885(+)
GHHK01017874.1|:177-3008(+)
GHHK01008250.1|:1-408(+)
GHHK01009986.1|:43-582(+)
GHHK01008467.1|:2-448(+)
GHHK01011785.1|:38-931(+)
GHHK01016094.1|:95-952(+)
GHHK01005408.1|:2-844(+)
GHHK01005311.1|:117-662(+)
GHHK01007639.1|:961-5085(+)
GHHK01010598.1|:1-1089(+)
GHHK01002282.1|:34-489(+)
GHHK01011742.1|:93-728(+)
GHHK01013106.1|:2-337(+)
GHHK01013057.1|:85-1173(+)
GHHK01003400.1|:83-733(+)
GHHK01005275.1|:27-395(+)
GHHK01000590.1|:226-1554(+)
GHHK01009596.1|:195-1397(+)
GHHK01001426.1|:144-2120(+)
GHHK01020653.1|:2-631(-)
GHHK01010323.1|:213-1055(+)
GHHK01012587.1|:225-5312(+)
GHHK01018203.1|:3-533(+)
GHHK01015495.1|:108-443(+)
GHHK01003275.1|:2-676(+)
GHHK01013029.1|:284-3559(+)
GHHK01017228.1|:65-793(+)
GHHK01010543.1|:295-1146(+)
GHHK01010229.1|:80-706(+)
GHHK01017744.1|:201-3380(+)
GHHK01014911.1|:1-744(+)
GHHK01019366.1|:156-812(+)
GHHK01016610.1|:101-958(+)
GHHK01005598.1|:265-1029(+)
GHHK01007158.1|:306-662(+)
GHHK01005159.1|:165-851(+)
GHHK01004151.1|:2-424(+)
GHHK01028556.1|:1-984(+)
GHHK01012353.1|:148-627(+)
GHHK01017975.1|:334-903(+)
GHHK01000786.1|:468-1262(+)
GHHK01001379.1|:195-1040(+)
GHHK01013800.1|:50-493(+)
GHHK01006183.1|:194-1423(+)
GHHK01005670.1|:3-335(-)
GHHK01006579.1|:2-556(+)
GHHK01009961.1|:302-862(+)
GHHK01012654.1|:193-2097(+)
GHHK01005239.1|:101-1537(+)
GHHK01012070.1|:278-697(+)
GHHK01014733.1|:185-1147(+)
GHHK01027029.1|:132-2225(+)
GHHK01014100.1|:82-720(+)
LYSC_LYSEN
GHHK01007160.1|:106-756(+)
GHHK01010746.1|:3-482(-)
GHHK01019362.1|:3-815(+)
GHHK01019481.1|:90-950(+)
GHHK01017138.1|:3-2780(+)
GHHK01007276.1|:67-1047(+)
GHHK01017867.1|:139-1065(+)
GHHK01014598.1|:83-823(+)
GHHK01017253.1|:125-1336(+)
GHHK01007461.1|:396-1319(+)
GHHK01011623.1|:116-3184(+)
GHHK01027300.1|:1-831(+)
GHHK01012781.1|:95-574(+)
GHHK01005265.1|:91-567(+)
GHHK01029864.1|:1-1053(+)
GHHK01018822.1|:38-3214(+)
GHHK01009004.1|:2-742(+)
GHHK01016949.1|:2-388(+)
GHHK01019681.1|:1-4116(+)
GHHK01001184.1|:513-2627(+)
GHHK01004229.1|:177-866(+)
GHHK01005493.1|:193-3006(+)
GHHK01010535.1|:560-2287(+)
GHHK01010747.1|:3-887(+)
GHHK01011747.1|:530-1216(+)
GHHK01001082.1|:141-1403(+)
GHHK01009166.1|:130-1701(+)
GHHK01030096.1|:236-1606(+)
GHHK01029643.1|:1-330(+)
GHHK01008981.1|:156-1532(+)
GHHK01028667.1|:220-1410(+)
GHHK01008497.1|:137-2341(+)
GHHK01006785.1|:3-701(+)
GHHK01005820.1|:161-1237(+)
GHHK01015431.1|:234-3686(+)
GHHK01019711.1|:123-1004(+)
GHHK01011931.1|:3-1124(+)
GHHK01007195.1|:77-1135(+)
GHHK01023919.1|:2-451(+)
GHHK01005325.1|:1-342(+)
GHHK01007603.1|:3-614(+)
GHHK01005921.1|:200-1210(+)
GHHK01016407.1|:3-1946(+)
GHHK01011078.1|:909-6242(+)
GHHK01010002.1|:376-4797(+)
GHHK01000826.1|:1-378(+)
GHHK01017083.1|:219-1142(+)
GHHK01028921.1|:1-321(+)
GHHK01018781.1|:289-1221(+)
GHHK01018775.1|:78-713(+)
GHHK01027755.1|:98-1423(+)
GHHK01004112.1|:2-757(+)
GHHK01005852.1|:1-645(+)
GHHK01007609.1|:1-1317(+)
GHHK01009126.1|:85-735(+)
GHHK01022389.1|:3-1046(+)
GHHK01013751.1|:3-668(+)
GHHK01002413.1|:1-666(+)
GHHK01000612.1|:1-366(+)
GHHK01008046.1|:215-5422(+)
GHHK01017638.1|:267-2051(+)
GHHK01014460.1|:3-1550(+)
GHHK01000881.1|:63-1073(+)
GHHK01007980.1|:182-973(+)
GHHK01019221.1|:30-389(+)
GHHK01025125.1|:124-522(+)
GHHK01001797.1|:3-311(+)
GHHK01009376.1|:157-1368(+)
GHHK01018727.1|:3-548(+)
GHHK01016964.1|:3-395(+)
GHHK01028206.1|:1-366(+)
